QUESTION,CORRECT ANSWER,INCORRECT ANSWER 1,INCORRECT ANSWER 2,INCORRECT ANSWER 3,EXPLANATION WHY CORRECT IS CORRECT,,,,,,,,
Trust accounts are designed for other peoples money.,TRUE,FALSE,,,,,,,,,,,
The Real Estate Trust Account can draw interest not to exceed ____%,0,2,5,15,Unless agreed upon in writing by both parties, the Real Estate Trust Account cannot draw interest.,,,,,,,
According to Utah Law  the earnest money must be deposited within _______ business/banking/working days.,3,1,5,,,,,,,,,,
In the real estate trust account  the broker can deposit no more than $________ of his/her own money.,500,1,100,200,,,,,,,,,
If brokers place more than the allowed amount of their own money in the trust account  they are guilty of commingling.,TRUE,FALSE,,,,,,,,,,,
Typically  earnest money checks would be written in the name of the broker  the trust account  or the brokerage.,TRUE,FALSE,,,,,,,,,,,
If there is no agreement to the contrary  can earnest money be used to complete construction?,No,Yes,,,,,,,,,,,
If there is no agreement  can large amounts of money be used as a non-refundable deposit?,No,Yes,,,,,,,,,,,
A separate property management trust account must be opened if servicing more than ____ accounts.,6,1,2,4,,,,,,,,,
Which of the following is NOT one of the ways a principal broker is allowed to disburse money from the trust account?,As directed by the lender,As directed in the contract,As directed by the buyer and seller,As directed by the court,,,,,,,,,
Audits are ordered by the real estate division and are to be done by a certified public accountant at the expense of the sales agent.,FALSE,TRUE,,,,,,,,,,,
The name of the trust account must contain the words:,Real Estate Trust Account,Trust Account,[brokers name] Trust Account,,,,,,,,,,
According to the REPC  the earnest money must be deposited in accordance with State law after:,Acceptance,The agent receives it,It is turned in to the brokerage,As stated in the REPC, after receipt of the earnest money AND acceptance, the brokerage will then have 4 calendar days to deposit it into the Trust Account., after receipt of the earnest money AND acceptance,,,,,,
If a promissory note is taken as earnest money  it is to be kept in the transaction file and the maker of the note is called the:,Payor,Payee,,,,,,,,,,,
When a dispute between seller and buyer arises  the principal broker has _____ days to notify the parties involved in the dispute.,15,3,10,,,,,,,,,,
As stated in UCA 61:2  if a sale fails  the broker is entitled to a portion of the earnest money only with _________ of the buyer and seller.,Written consent,Oral consent,,,,,,,,,,,
In writing an offer on a property where no certificate of occupancy has been issued  the agent is to use the REPC for:,Residential construction,Commercial construction,,,,,,,,,,,
If an agent received earnest money in the following amounts  $500 cash  $500 personal check  the agent would be responsible for:,$1 ,000 earnest money,000 earnest money,$600 earnest money,$750 earnest money, ,,,,,,,
10,5,1,3,7,,,,,,,,,
